No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	7	0.1u	C1,C2,C3,C4,C5,C6,C7	C0805					
2	1	HDR-M-2.54_1x10	J1	HDR-M-2.54_1X10				C57369	LCSC
3	2	HDR-M-2.54_1x8	J2,J3	HDR-M-2.54_1X8				C190820	LCSC
4	1	HDR-M-2.54_1x6	J4	HDR-M-2.54_1X6				C190819	LCSC
5	3	HDR-M-2.54_1x2	J5,J6,J7	HDR-M-2.54_1X2				C124375	LCSC
6	16	50k	R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16	R1206					
7	8	1.8k	R17,R18,R19,R20,R21,R22,R23,R24	R1206					
8	8	3.3k	R25,R26,R27,R28,R29,R30,R31,R32	R1206					
9	2	74HC595PW,118	U1,U2	TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL		74HC595PW,118	Nexperia(安世)	C5948	LCSC
10	2	ADG708BRUZ-REEL	U3,U9	TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL		ADG708BRUZ-REEL	ADI(亚德诺)	C657577	LCSC
11	2	ADG706BRUZ	U5,U6	TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL		ADG706BRUZ-REEL7	ADI(亚德诺)/LINEAR(凌特)	C408400	LCSC
12	1	ADG619BRMZ-REEL7	U8	MSOP-8_L3.0-W3.0-P0.65-LS4.9-TL		ADG619BRMZ-REEL7	ADI(亚德诺)/LINEAR(凌特)	C141957	LCSC
13	1	CS-CQFP64-1830-1830-100-1	U10	ICS-CQFP64-1830-1830-100-1					
