No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	14	0.1u	C1,C2,C3,C4,C5,C6,C7,C8,C10,C12,C13,C16,C17,C20	C0805					
2	6	100u	C9,C11,C14,C15,C18,C19	CAP-D8.0×F3.5					
3	2	HDR-M-2.54_1x10	J1,J10	HDR-M-2.54_1X10				C57369	LCSC
4	4	HDR-M-2.54_1x8	J2,J3,J11,J13	HDR-M-2.54_1X8				C190820	LCSC
5	2	HDR-M-2.54_1x6	J4,J12	HDR-M-2.54_1X6				C190819	LCSC
6	1	CON_TERMINAL_BLOCK_02-5MM	J5	TERMINAL_BLOCK_2P_5					
7	3	HDR-M-2.54_1x2	J6,J7,J14	HDR-M-2.54_1X2				C124375	LCSC
8	2	HDR-M-2.54_1x3	J8,J9	HDR-M-2.54_1X3				C180248	LCSC
9	1	LED-0805_G	LED1	LED0805_GREEN		NCD0805G1	国星光电	C84260	
10	3	LED-0805_B	PWRD,PWRDA,PWRR	LED0805_BLUE		D-B080508B1-KS2	方舟 ARKLED	C108412	
11	1	MMBFJ177	Q3	SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR		MMBFJ177	onsemi(安森美)	C232842	LCSC
12	2	51k	R1,R10	R1206					
13	8	10k	R2,R3,R4,R8,R11,R12,R13,R15	R1206					
14	2	100	R5,R7	R1206					
15	1	3k	R6	R1206					
16	1	1k	R9	R1206					
17	1	3.3k	R14	R1206					
18	1	MCP4921T-E/SN	U1	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-2		MCP4921T-E/SN	MICROCHIP(美国微芯)	C623659	LCSC
19	3	ADG619BRMZ-REEL7	U2,U3,U4	MSOP-8_L3.0-W3.0-P0.65-LS4.9-TL		ADG619BRMZ-REEL7	ADI(亚德诺)/LINEAR(凌特)	C141957	LCSC
20	1	TLC3541ID	U5	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL		TLC3541ID	TI(德州仪器)	C1543741	LCSC
21	3	NCP1117ST50T3G	U6,U7,U11	SOT-223_L6.5-W3.5-P2.30-LS7.0-BR		NCP1117ST50T3G	onsemi(安森美)	C17314	LCSC
22	1	AD8616ARMZ	U8	MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL		AD8616ARMZ	ADI(亚德诺)/LINEAR(凌特)	C578786	LCSC
23	1	DS-01	U10	SW-TH_DS-01		DS-01	null	C9900001390	LCSC
